# Mass radius data for spheres in hydrostatic equilibrium, calculated using BICEPS (Haldemann et al. 2023).
# columns:
#    mtot  = total mass in [m_Earth]
#    r50   = transit radius in [m_Earth] boundary condition (1 mbar, 50 K)
#    r300  = transit radius in [m_Earth] boundary condition (1 mbar, 300 K)
#    r800  = transit radius in [m_Earth] boundary condition (1 mbar, 800 K)
#    r1500 = transit radius in [m_Earth] boundary condition (1 mbar, 1500 K)
#    r2000 = transit radius in [m_Earth] boundary condition (1 mbar, 2000 K)
# column labels:
# mtot,  r50,      r300,     r800,     r1500,    r2000 
0.100000, 0.391509, 0.391609, 0.392905, 0.399534, 0.405580
0.114546, 0.408131, 0.408275, 0.409669, 0.416394, 0.422479
0.131207, 0.425382, 0.425566, 0.427062, 0.433877, 0.439992
0.150292, 0.443257, 0.443487, 0.445103, 0.452001, 0.458138
0.172154, 0.461814, 0.462084, 0.463804, 0.470783, 0.476934
0.197195, 0.481043, 0.481365, 0.483178, 0.490234, 0.496394
0.225878, 0.500961, 0.501330, 0.503232, 0.510362, 0.516532
0.258734, 0.521587, 0.521969, 0.523973, 0.531172, 0.537350
0.296369, 0.542891, 0.543324, 0.545421, 0.552679, 0.558858
0.339478, 0.564952, 0.565417, 0.567594, 0.574904, 0.581078
0.388858, 0.587734, 0.588271, 0.590513, 0.597862, 0.604029
0.445420, 0.611305, 0.611879, 0.614202, 0.621585, 0.627741
0.510210, 0.635667, 0.636282, 0.638677, 0.646090, 0.652223
0.584424, 0.660847, 0.661491, 0.663952, 0.671391, 0.677503
0.669433, 0.686825, 0.687513, 0.690036, 0.697496, 0.703588
0.766807, 0.713613, 0.714357, 0.716938, 0.724420, 0.730490
0.878345, 0.741241, 0.742029, 0.744666, 0.752165, 0.758212
1.006107, 0.769700, 0.770527, 0.773220, 0.780738, 0.786759
1.152453, 0.798990, 0.799847, 0.802601, 0.810131, 0.816130
1.320087, 0.829103, 0.829997, 0.832803, 0.840349, 0.846323
1.512104, 0.860035, 0.860968, 0.863821, 0.871380, 0.877331
1.732051, 0.891779, 0.892740, 0.895645, 0.903216, 0.909142
1.983991, 0.924302, 0.925309, 0.928261, 0.935841, 0.941743
2.272578, 0.957610, 0.958646, 0.961646, 0.969237, 0.975116
2.603142, 0.991677, 0.992738, 0.995783, 1.003384, 1.009237
2.981789, 1.026461, 1.027554, 1.030641, 1.038250, 1.044079
3.415514, 1.061939, 1.063067, 1.066192, 1.073808, 1.079611
3.912327, 1.098077, 1.099237, 1.102400, 1.110021, 1.115798
4.481405, 1.134846, 1.136027, 1.139229, 1.146851, 1.152601
5.133260, 1.172192, 1.173400, 1.176637, 1.184256, 1.189978
5.879932, 1.210075, 1.211310, 1.214580, 1.222193, 1.227885
6.735214, 1.248456, 1.249715, 1.253012, 1.260615, 1.266271
7.714903, 1.287286, 1.288568, 1.291887, 1.299477, 1.305098
8.837096, 1.326523, 1.327822, 1.331165, 1.338733, 1.344313
10.122520, 1.366127, 1.367441, 1.370799, 1.378341, 1.383878
11.594919, 1.406057, 1.407385, 1.410754, 1.418260, 1.423749
13.281490, 1.446278, 1.447620, 1.450998, 1.458458, 1.463894
15.213385, 1.486771, 1.488122, 1.491501, 1.498908, 1.504284
17.426290, 1.527511, 1.528869, 1.532244, 1.539588, 1.544897
19.961079, 1.568491, 1.569852, 1.573216, 1.580485, 1.585723
22.864573, 1.609702, 1.611063, 1.614411, 1.621598, 1.626760
26.190403, 1.651153, 1.652510, 1.655836, 1.662932, 1.668007
30.000000, 1.692852, 1.694205, 1.697502, 1.704494, 1.709483
